flare_id,GOES_class,stix_start_UTC,stix_end_UTC,mwa_start_UTC,mwa_end_UTC,flare_duration_sec,overlap_percentage,projectids,obs_ids
2408180547,C3.6,2024-08-18 05:45:39.271000+00:00,2024-08-18 05:52:59.271000+00:00,2024-08-18 05:45:39.271000+00:00,2024-08-18 05:52:59.271000+00:00,440,1,['G0002'],[1407995552]
2408150744,C3.5,2024-08-15 07:38:07.807000+00:00,2024-08-15 07:52:23.809000+00:00,2024-08-15 07:38:07.807000+00:00,2024-08-15 07:52:23.809000+00:00,856,1,"['G0002', 'G0002']","[1407742920, 1407743520]"
2408160709,C3.5,2024-08-16 07:04:11.863000+00:00,2024-08-16 07:14:35.864000+00:00,2024-08-16 07:04:11.863000+00:00,2024-08-16 07:14:35.864000+00:00,624,1,['G0002'],[1407827488]
2411050540,C3.5,2024-11-05 05:38:45.232000+00:00,2024-11-05 05:45:29.233000+00:00,2024-11-05 05:38:45.232000+00:00,2024-11-05 05:45:29.233000+00:00,404,1,['G0002'],[1414820344]
2408190224,C3.4,2024-08-19 02:19:23.306000+00:00,2024-08-19 02:28:07.307000+00:00,2024-08-19 02:19:23.306000+00:00,2024-08-19 02:28:07.307000+00:00,524,1,['G0002'],[1408069336]
2411030244,C3.4,2024-11-03 02:27:33.298000+00:00,2024-11-03 02:53:13.201000+00:00,2024-11-03 02:27:33.298000+00:00,2024-11-03 02:53:13.201000+00:00,1539,1,"['G0002', 'G0002', 'G0002']","[1414636096, 1414636696, 1414637304]"
2502100212,C3.4,2025-02-10 02:05:36.276000+00:00,2025-02-10 02:30:24.279000+00:00,2025-02-10 02:05:36.276000+00:00,2025-02-10 02:30:24.279000+00:00,1488,1,['G0002'],[1423189816]
2408190153,C3.3,2024-08-19 01:48:07.303000+00:00,2024-08-19 02:00:07.304000+00:00,2024-08-19 01:48:07.303000+00:00,2024-08-19 02:00:07.304000+00:00,720,1,['G0002'],[1408068016]
2410220547,C3.3,2024-10-22 05:38:12.101000+00:00,2024-10-22 05:56:44.103000+00:00,2024-10-22 05:38:12.101000+00:00,2024-10-22 05:56:44.103000+00:00,1112,1,"['G0002', 'G0002']","[1413610912, 1413611512]"
2502210132,C3.3,2025-02-21 01:06:57.824000+00:00,2025-02-21 01:48:05.830000+00:00,2025-02-21 01:06:57.824000+00:00,2025-02-21 01:48:05.830000+00:00,2468,1,"['G0002', 'G0002', 'G0002', 'G0002']","[1424135280, 1424135888, 1424136488, 1424137344]"
2408160650,C3.2,2024-08-16 06:48:39.861000+00:00,2024-08-16 06:58:11.862000+00:00,2024-08-16 06:48:39.861000+00:00,2024-08-16 06:58:11.862000+00:00,572,1,['G0002'],[1407826368]
2408210731,C3.2,2024-08-21 07:22:51.556000+00:00,2024-08-21 07:47:23.559000+00:00,2024-08-21 07:22:51.556000+00:00,2024-08-21 07:47:23.559000+00:00,1472,1,"['G0002', 'G0002']","[1408260568, 1408261176]"
2409100739,C3.2,2024-09-10 07:34:36.630000+00:00,2024-09-10 07:46:40.631000+00:00,2024-09-10 07:34:36.630000+00:00,2024-09-10 07:46:40.631000+00:00,724,1,['G0002'],[1409989120]
2411010309,C3.2,2024-11-01 03:02:42.282000+00:00,2024-11-01 03:19:26.284000+00:00,2024-11-01 03:02:42.282000+00:00,2024-11-01 03:19:26.284000+00:00,1004,1,"['G0002', 'G0002']","[1414465704, 1414466312]"
2411010520,C3.2,2024-11-01 05:15:10.297000+00:00,2024-11-01 05:22:14.298000+00:00,2024-11-01 05:15:10.297000+00:00,2024-11-01 05:22:14.298000+00:00,424,1,['G0002'],[1414473544]
2501270649,C3.2,2025-01-27 06:45:26.369000+00:00,2025-01-27 06:55:38.370000+00:00,2025-01-27 06:45:26.369000+00:00,2025-01-27 06:55:38.370000+00:00,612,1,['G0002'],[1421996072]
2407200622,C3.1,2024-07-20 06:19:32.906000+00:00,2024-07-20 06:27:40.907000+00:00,2024-07-20 06:19:32.906000+00:00,2024-07-20 06:27:40.907000+00:00,488,1,['G0002'],[1405491776]
2408210759,C3.1,2024-08-21 07:53:43.559000+00:00,2024-08-21 08:03:11.561000+00:00,2024-08-21 07:53:43.559000+00:00,2024-08-21 08:03:11.561000+00:00,568,1,['G0002'],[1408262376]
2409150715,C3.1,2024-09-15 06:52:16.821000+00:00,2024-09-15 07:55:28.828000+00:00,2024-09-15 06:52:16.821000+00:00,2024-09-15 07:55:28.828000+00:00,3792,1,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1410418616, 1410419216, 1410419816, 1410420424, 1410421024, 1410421624]"
2409150721,C3.1,2024-09-15 06:52:16.821000+00:00,2024-09-15 07:55:28.828000+00:00,2024-09-15 06:52:16.821000+00:00,2024-09-15 07:55:28.828000+00:00,3792,1,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1410418616, 1410419216, 1410419816, 1410420424, 1410421024, 1410421624]"
2409260714,C3.1,2024-09-26 06:56:30.005000+00:00,2024-09-26 07:30:26.009000+00:00,2024-09-26 06:56:30.005000+00:00,2024-09-26 07:30:26.009000+00:00,2036,1,"['G0002', 'G0002', 'G0002']","[1411369520, 1411370120, 1411370728]"
2410210252,C3.1,2024-10-21 02:45:44.024000+00:00,2024-10-21 03:02:40.026000+00:00,2024-10-21 02:45:44.024000+00:00,2024-10-21 03:02:40.026000+00:00,1016,1,"['G0002', 'G0002']","[1413514136, 1413514736]"
2407230442,C3.0,2024-07-23 04:38:41.165000+00:00,2024-07-23 04:48:25.166000+00:00,2024-07-23 04:38:41.165000+00:00,2024-07-23 04:48:25.166000+00:00,584,1,['G0002'],[1405745200]
2409270632,C3.0,2024-09-27 06:29:14.065000+00:00,2024-09-27 07:35:14.072000+00:00,2024-09-27 06:29:14.065000+00:00,2024-09-27 07:35:14.072000+00:00,3960,1,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1411454432, 1411455312, 1411455912, 1411456512, 1411457120, 1411457720]"
2409300737,C3.0,2024-09-30 07:28:22.563000+00:00,2024-09-30 07:53:34.566000+00:00,2024-09-30 07:28:22.563000+00:00,2024-09-30 07:53:34.566000+00:00,1512,1,"['G0002', 'G0002']","[1411716888, 1411717488]"
2410220739,C3.0,2024-10-22 07:35:56.114000+00:00,2024-10-22 07:59:48.117000+00:00,2024-10-22 07:35:56.114000+00:00,2024-10-22 07:59:48.117000+00:00,1432,1,"['G0002', 'G0002']","[1413618248, 1413618856]"
2407130730,C2.9,2024-07-13 07:24:00.119000+00:00,2024-07-13 07:42:20.121000+00:00,2024-07-13 07:24:00.119000+00:00,2024-07-13 07:42:20.121000+00:00,1100,1,"['G0002', 'G0002']","[1404890768, 1404891368]"
2407210710,C2.9,2024-07-21 07:03:57.068000+00:00,2024-07-21 07:15:49.069000+00:00,2024-07-21 07:03:57.068000+00:00,2024-07-21 07:15:49.069000+00:00,712,1,['G0002'],[1405580944]
2407220314,C2.9,2024-07-22 03:11:00.999000+00:00,2024-07-22 03:20:45+00:00,2024-07-22 03:11:00.999000+00:00,2024-07-22 03:20:45+00:00,584,1,['G0002'],[1405653144]
2407280119,C2.9,2024-07-28 01:14:53.029000+00:00,2024-07-28 01:24:37.030000+00:00,2024-07-28 01:14:53.029000+00:00,2024-07-28 01:24:37.030000+00:00,584,1,['G0002'],[1406164616]
2407280131,C2.9,2024-07-28 01:27:53.030000+00:00,2024-07-28 01:35:29.031000+00:00,2024-07-28 01:27:53.030000+00:00,2024-07-28 01:35:29.031000+00:00,456,1,['G0002'],[1406165584]
2409080250,C2.9,2024-09-08 02:44:56.680000+00:00,2024-09-08 02:53:20.681000+00:00,2024-09-08 02:44:56.680000+00:00,2024-09-08 02:53:20.681000+00:00,504,1,['G0002'],[1409798728]
2410210318,C2.9,2024-10-21 03:05:52.026000+00:00,2024-10-21 03:25:56.028000+00:00,2024-10-21 03:05:52.026000+00:00,2024-10-21 03:25:56.028000+00:00,1204,1,"['G0002', 'G0002']","[1413515336, 1413515936]"
2407290643,C2.8,2024-07-29 06:40:29.222000+00:00,2024-07-29 06:51:21.223000+00:00,2024-07-29 06:40:29.222000+00:00,2024-07-29 06:51:21.223000+00:00,652,1,['G0002'],[1406270880]
2407290727,C2.8,2024-07-29 07:14:33.225000+00:00,2024-07-29 07:50:29.229000+00:00,2024-07-29 07:14:33.225000+00:00,2024-07-29 07:50:29.229000+00:00,2156,1,"['G0002', 'G0002', 'G0002', 'G0002']","[1406272624, 1406273224, 1406273824, 1406274432]"
2408060643,C2.8,2024-08-06 06:40:23.781000+00:00,2024-08-06 06:51:07.782000+00:00,2024-08-06 06:40:23.781000+00:00,2024-08-06 06:51:07.782000+00:00,644,1,['G0002'],[1406961848]
