flare_id,GOES_class,stix_start_UTC,stix_end_UTC,mwa_start_UTC,mwa_end_UTC,flare_duration_sec,overlap_percentage,projectids,obs_ids,obs_names,calibrator_obs_ids,calibrator_obs_names,calibrator_time_diff_hr
2501170422,C4.6,2025-01-17 04:16:45.473000+00:00,2025-01-17 04:26:01.474000+00:00,2025-01-17 04:16:45.473000+00:00,2025-01-17 04:26:01.474000+00:00,556,1,['G0002'],[1421123080],"['Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2502030223,C4.6,2025-02-03 02:22:44.162000+00:00,2025-02-03 02:29:24.163000+00:00,2025-02-03 02:22:44.162000+00:00,2025-02-03 02:29:24.163000+00:00,400,1,['G0002'],[1422584752],"['Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2410150357,C4.5,2024-10-15 03:45:51.968000+00:00,2024-10-15 04:14:11.971000+00:00,2024-10-15 03:45:51.968000+00:00,2024-10-15 04:14:11.971000+00:00,1700,1,"['G0002', 'G0002', 'G0002']","[1412999472, 1413000072, 1413000680]","['Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2411040524,C4.5,2024-11-04 05:21:41.071000+00:00,2024-11-04 05:29:21.072000+00:00,2024-11-04 05:21:41.071000+00:00,2024-11-04 05:29:21.072000+00:00,460,1,['G0002'],[1414733344],"['Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2411040555,C4.5,2024-11-04 05:52:45.074000+00:00,2024-11-04 06:13:57.077000+00:00,2024-11-04 05:52:45.074000+00:00,2024-11-04 06:13:57.077000+00:00,1272,1,"['G0002', 'G0002']","[1414735152, 1414735752]","['Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2411090107,C4.5,2024-11-09 01:06:41.337000+00:00,2024-11-09 01:14:45.338000+00:00,2024-11-09 01:06:41.337000+00:00,2024-11-09 01:14:45.338000+00:00,484,1,['G0002'],[1415149672],"['Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2411180206,C4.5,2024-11-18 01:51:41.171000+00:00,2024-11-18 02:10:09.173000+00:00,2024-11-18 01:51:41.171000+00:00,2024-11-18 02:10:09.173000+00:00,1108,1,"['G0002', 'G0002']","[1415930304, 1415930904]","['Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2411240411,C4.5,2024-11-24 04:07:53.640000+00:00,2024-11-24 04:23:37.642000+00:00,2024-11-24 04:07:53.640000+00:00,2024-11-24 04:23:37.642000+00:00,944,1,"['G0002', 'G0002']","[1416456528, 1416457128]","['Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2410270248,C4.4,2024-10-27 02:46:32.581000+00:00,2024-10-27 03:02:04.583000+00:00,2024-10-27 02:46:32.581000+00:00,2024-10-27 03:02:04.583000+00:00,932,1,"['G0002', 'G0002']","[1414032512, 1414033120]","['Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2411090129,C4.4,2024-11-09 01:24:13.339000+00:00,2024-11-09 01:37:53.340000+00:00,2024-11-09 01:24:13.339000+00:00,2024-11-09 01:37:53.340000+00:00,820,1,"['G0002', 'G0002']","[1415150880, 1415151480]","['Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
